feature,importance
v14,0.58291984
v4,0.058903173
v12,0.040089294
v10,0.031101476
v3,0.026964225
v8,0.026716882
v1,0.02222531
v18,0.014775451
v9,0.013903043
v19,0.013330252
v7,0.012357428
v17,0.012112399
v2,0.011420561
transactions_per_user_last_24h,0.009734588
v11,0.009046233
transaction_hour,0.009035454
transaction_amount_log,0.008110979
v13,0.008048539
v21,0.0074131307
v26,0.0073736934
v16,0.0071604447
v22,0.007104565
v25,0.0069965236
v6,0.0068680905
v5,0.0068085906
v20,0.0066398014
v28,0.0062648365
avg_amount_last_7days,0.0060318937
is_night_transaction,0.005180192
v27,0.004401261
v15,0.004287763
v23,0.003814833
v24,0.0028591633
